,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
0,4,11,34,2179.55,2175.4,,,-20.083960000000364,3.4839600000000006,-0.0023036819526967424,2024-03-11 09:00:00+00:00,2024-03-12 09:00:00+00:00,1 days 00:00:00,
1,4,34,57,2175.4,2159.43,,,-67.34786400000102,3.467864,-0.0077397103980877974,2024-03-12 09:00:00+00:00,2024-03-13 09:00:00+00:00,1 days 00:00:00,
2,4,57,80,2159.43,2168.66,,,33.457528000000075,3.462472,0.0038734212268977473,2024-03-13 09:00:00+00:00,2024-03-14 09:00:00+00:00,1 days 00:00:00,
3,4,80,103,2168.66,2168.94,,,-2.3500799999992,3.4700800000000003,-0.0002709138361937734,2024-03-14 09:00:00+00:00,2024-03-15 09:00:00+00:00,1 days 00:00:00,
4,4,103,126,2168.94,2148.13,,,-86.69365599999978,3.4536560000000005,-0.009992629579425842,2024-03-15 09:00:00+00:00,2024-03-18 09:00:00+00:00,3 days 00:00:00,
5,-4,126,149,2148.13,2156.71,,,-37.76387199999971,3.4438720000000003,-0.004394970509233552,2024-03-18 09:00:00+00:00,2024-03-19 09:00:00+00:00,1 days 00:00:00,
6,-4,149,172,2156.71,2157.08,,,-4.931031999999563,3.451032,-0.0005715919154637287,2024-03-19 09:00:00+00:00,2024-03-20 09:00:00+00:00,1 days 00:00:00,
7,-4,172,195,2157.08,2207.05,,,-203.37130400000103,3.4913040000000004,-0.023570208800786384,2024-03-20 09:00:00+00:00,2024-03-21 09:00:00+00:00,1 days 00:00:00,
8,-4,195,218,2207.05,2170.1,,,144.29828000000109,3.5017200000000006,0.016345153032328356,2024-03-21 09:00:00+00:00,2024-03-22 09:00:00+00:00,1 days 00:00:00,
9,-4,218,241,2170.1,2165.44,,,15.171567999999418,3.468432,0.0017477959541034281,2024-03-22 09:00:00+00:00,2024-03-25 09:00:00+00:00,3 days 00:00:00,
10,4,241,264,2165.44,2171.49,,,20.73045599999891,3.469544,0.002393330685680348,2024-03-25 09:00:00+00:00,2024-03-26 09:00:00+00:00,1 days 00:00:00,
11,4,264,287,2171.49,2177.67,,,21.240672000001165,3.4793279999999998,0.0024454029261015142,2024-03-26 09:00:00+00:00,2024-03-27 09:00:00+00:00,1 days 00:00:00,
12,4,287,310,2177.67,2198.63,,,80.33896000000014,3.5010400000000006,0.00922304114030144,2024-03-27 09:00:00+00:00,2024-03-28 09:00:00+00:00,1 days 00:00:00,
13,-4,310,331,2198.63,2260.33,,,-250.36716799999928,3.5671680000000006,-0.028468542683398178,2024-03-28 09:00:00+00:00,2024-04-01 08:00:00+00:00,3 days 23:00:00,
14,4,331,354,2260.33,2256.67,,,-18.253599999999416,3.6136,-0.002018908743413477,2024-04-01 08:00:00+00:00,2024-04-02 08:00:00+00:00,1 days 00:00:00,
15,4,354,377,2256.67,2283.75,,,104.68766399999971,3.6323360000000005,0.011597582278312665,2024-04-02 08:00:00+00:00,2024-04-03 08:00:00+00:00,1 days 00:00:00,
16,4,377,400,2283.75,2298.8,,,56.533960000000725,3.6660400000000006,0.006188720306513537,2024-04-03 08:00:00+00:00,2024-04-04 08:00:00+00:00,1 days 00:00:00,
17,4,400,423,2298.8,2278.0,,,-86.86144000000073,3.6614400000000002,-0.009446389420567382,2024-04-04 08:00:00+00:00,2024-04-05 08:00:00+00:00,1 days 00:00:00,
18,4,423,446,2278.0,2342.18,,,253.02385599999934,3.696144,0.027768201931518875,2024-04-05 08:00:00+00:00,2024-04-08 08:00:00+00:00,3 days 00:00:00,
